id,ra,dec,B_mag,B_mag_unc,V_mag,V_mag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,z_mag,z_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,K_mag,K_mag_unc,G_mag,G_mag_unc,Bp_mag,Bp_mag_unc,Rp_mag,Rp_mag_unc,parallax,parallax_unc,GaiaID
EPIC203518244,244.162914,-25.870046,14.62,0.03,13.643,0.034,14.164,0.035,13.266,0.042,12.824,0.062,,,11.258,0.024,10.827,0.026,10.645,0.019,13.2366,0.0002,13.891,0.0013,12.4421,0.0007,0.0014501,2.91e-05,6048675667859703040
EPIC203533312,243.955378,-25.818471,13.357,0.042,12.536,0.02,12.96,0.031,12.273,0.04,11.817,0.01,,,10.367,0.024,10.034,0.023,9.847,0.024,12.1885,0.0002,12.7732,0.0009,11.4488,0.0007,0.001774,4.36e-05,6048723320517323008
EPIC203560204,240.68535,-25.725641,,,,,,,,,,,,,12.234,0.024,11.597,0.026,11.328,0.021,15.3988,0.0008,17.1495,0.0049,14.1233,0.0021,0.0067146,0.0001171,6235805984203260160
EPIC203623230,252.222342,-25.507932,8.815,0.018,8.641,0.016,,,,,,,,,8.151,0.024,8.118,0.036,8.061,0.023,8.6024,0.0003,8.7157,0.001,8.4241,0.0014,0.0027991,7.099999999999999e-05,6034673696542921856
EPIC203710387,244.127846,-25.205603,,,,,,,,,,,,,12.932,0.023,12.277,0.024,11.907,0.023,16.6459,0.001,18.9278,0.0299,15.2339,0.0024,0.0059952,0.0001395,6048852379992975616
EPIC203753577,252.86184,-25.053403,11.766,0.132,11.2,0.128,,,,,,,,,9.811,0.033,9.562,0.036,9.477,0.033,10.975,0.0003,11.3477,0.0009,10.4488,0.0008,0.006331000000000001,0.0009214,6034783888222094464
EPIC203771098,242.573719,-24.990331,12.222,0.198,11.275,0.096,13.987,0.9,10.706,0.22,10.645,0.01,,,9.635,0.024,9.294,0.022,9.18,0.021,10.9072,0.0003,11.3567,0.0009,10.3212,0.0007,0.0058346,4.6e-05,6049750234317822208
EPIC203776696,246.611416,-24.969948,,,,,,,,,,,,,12.729,0.026,12.126,0.022,11.853,0.019,15.2553,0.0004,16.1654,0.0026,14.2841,0.0014,0.0009394000000000001,6.05e-05,6049057713786919936
EPIC203823381,247.137042,-24.798591,,,,,,,,,,,,,12.033,0.023,11.091,0.026,10.657,0.021,15.837,0.0042,17.3307,0.0102,14.456,0.0082,0.003774,0.000419,6049078260908936960
EPIC203826436,243.451011,-24.787062,13.463,0.01,12.568,0.03,12.977,0.03,12.237,0.01,11.926,0.03,,,10.692,0.022,10.214,0.021,10.142,0.021,12.2573,0.0001,12.7944,0.0009,11.5781,0.0006,0.0055290999999999995,4.87e-05,6049595065740634624
EPIC203867512,253.247321,-24.626258,12.648,0.041,12.057,0.03,12.279,0.03,11.865,0.04,11.678,0.06,,,10.789,0.026,10.535,0.023,10.465,0.021,11.9423,0.002,12.2318,0.0016,11.3768,0.0014,,,4113287052645272448
